Method,URL,ViewSet,Action,Documented
GET,/api/users/,UserViewSet,list,No
POST,/api/users/,UserViewSet,create,No
GET,/api/users/{id}/,UserViewSet,retrieve,No
PUT,/api/users/{id}/,UserViewSet,update,No
PATCH,/api/users/{id}/,UserViewSet,partial_update,No
DELETE,/api/users/{id}/,UserViewSet,destroy,No
GET,/api/users/{id}/me/,UserViewSet,me,Yes
GET,/api/users/statistics/,UserViewSet,statistics,Yes
GET,/api/users/service-history/,UserViewSet,service_history,Yes
PUT,/api/users/update-address/,UserViewSet,update_address,No
GET,/api/users/cars/,UserViewSet,cars,No
GET,/api/users/bulk-create/,UserViewSet,bulk_create,No
GET,/api/users/export/,UserViewSet,export,No
GET,/api/users/services/,UserViewSet,services,No
GET,/api/users/items/,UserViewSet,items,No
GET,/api/users/invoice/,UserViewSet,invoice,No
GET,/api/users/send-sms-notification/,UserViewSet,send_sms_notification,No
GET,/api/users/complete/,UserViewSet,complete,No
GET,/api/users/cancel/,UserViewSet,cancel,No
GET,/api/users/reschedule/,UserViewSet,reschedule,No
GET,/api/users/upcoming/,UserViewSet,upcoming,No
GET,/api/users/in-progress/,UserViewSet,in_progress,No
GET,/api/users/completed/,UserViewSet,completed,No
GET,/api/users/statistics/,UserViewSet,statistics,Yes
GET,/api/users/bulk-update/,UserViewSet,bulk_update,No
GET,/api/users/{id}/download/,UserViewSet,download,No
GET,/api/users/upload-pdf/,UserViewSet,upload_pdf,No
GET,/api/users/mark-as-paid/,UserViewSet,mark_as_paid,No
POST,/api/users/{id}/refund/,UserViewSet,refund,No
GET,/api/users/unpaid/,UserViewSet,unpaid,Yes
GET,/api/users/paid/,UserViewSet,paid,No
GET,/api/users/refunded/,UserViewSet,refunded,No
GET,/api/users/statistics/,UserViewSet,statistics,Yes
GET,/api/users/send-sms-notification/,UserViewSet,send_sms_notification,No
GET,/api/users/bulk-upload/,UserViewSet,bulk_upload,No
GET,/api/users/mark-read/,UserViewSet,mark_read,No
GET,/api/users/mark-all-read/,UserViewSet,mark_all_read,No
GET,/api/customers/,CustomerViewSet,list,No
POST,/api/customers/,CustomerViewSet,create,No
GET,/api/customers/{id}/,CustomerViewSet,retrieve,No
PUT,/api/customers/{id}/,CustomerViewSet,update,No
PATCH,/api/customers/{id}/,CustomerViewSet,partial_update,No
DELETE,/api/customers/{id}/,CustomerViewSet,destroy,No
GET,/api/customers/{id}/me/,CustomerViewSet,me,Yes
GET,/api/customers/statistics/,CustomerViewSet,statistics,Yes
GET,/api/customers/service-history/,CustomerViewSet,service_history,Yes
PUT,/api/customers/update-address/,CustomerViewSet,update_address,No
GET,/api/customers/cars/,CustomerViewSet,cars,No
GET,/api/customers/bulk-create/,CustomerViewSet,bulk_create,No
GET,/api/customers/export/,CustomerViewSet,export,No
GET,/api/customers/services/,CustomerViewSet,services,No
GET,/api/customers/items/,CustomerViewSet,items,No
GET,/api/customers/invoice/,CustomerViewSet,invoice,No
GET,/api/customers/send-sms-notification/,CustomerViewSet,send_sms_notification,No
GET,/api/customers/complete/,CustomerViewSet,complete,No
GET,/api/customers/cancel/,CustomerViewSet,cancel,No
GET,/api/customers/reschedule/,CustomerViewSet,reschedule,No
GET,/api/customers/upcoming/,CustomerViewSet,upcoming,No
GET,/api/customers/in-progress/,CustomerViewSet,in_progress,No
GET,/api/customers/completed/,CustomerViewSet,completed,No
GET,/api/customers/statistics/,CustomerViewSet,statistics,Yes
GET,/api/customers/bulk-update/,CustomerViewSet,bulk_update,No
GET,/api/customers/{id}/download/,CustomerViewSet,download,No
GET,/api/customers/upload-pdf/,CustomerViewSet,upload_pdf,No
GET,/api/customers/mark-as-paid/,CustomerViewSet,mark_as_paid,No
POST,/api/customers/{id}/refund/,CustomerViewSet,refund,No
GET,/api/customers/unpaid/,CustomerViewSet,unpaid,Yes
GET,/api/customers/paid/,CustomerViewSet,paid,No
GET,/api/customers/refunded/,CustomerViewSet,refunded,No
GET,/api/customers/statistics/,CustomerViewSet,statistics,Yes
GET,/api/customers/send-sms-notification/,CustomerViewSet,send_sms_notification,No
GET,/api/customers/bulk-upload/,CustomerViewSet,bulk_upload,No
GET,/api/customers/mark-read/,CustomerViewSet,mark_read,No
GET,/api/customers/mark-all-read/,CustomerViewSet,mark_all_read,No
GET,/api/cars/,CarViewSet,list,No
POST,/api/cars/,CarViewSet,create,No
GET,/api/cars/{id}/,CarViewSet,retrieve,No
PUT,/api/cars/{id}/,CarViewSet,update,No
PATCH,/api/cars/{id}/,CarViewSet,partial_update,No
DELETE,/api/cars/{id}/,CarViewSet,destroy,No
GET,/api/cars/{id}/me/,CarViewSet,me,Yes
GET,/api/cars/statistics/,CarViewSet,statistics,Yes
GET,/api/cars/service-history/,CarViewSet,service_history,Yes
PUT,/api/cars/update-address/,CarViewSet,update_address,No
GET,/api/cars/cars/,CarViewSet,cars,No
GET,/api/cars/bulk-create/,CarViewSet,bulk_create,No
GET,/api/cars/export/,CarViewSet,export,No
GET,/api/cars/services/,CarViewSet,services,No
GET,/api/cars/items/,CarViewSet,items,No
GET,/api/cars/invoice/,CarViewSet,invoice,No
GET,/api/cars/send-sms-notification/,CarViewSet,send_sms_notification,No
GET,/api/cars/complete/,CarViewSet,complete,No
GET,/api/cars/cancel/,CarViewSet,cancel,No
GET,/api/cars/reschedule/,CarViewSet,reschedule,No
GET,/api/cars/upcoming/,CarViewSet,upcoming,No
GET,/api/cars/in-progress/,CarViewSet,in_progress,No
GET,/api/cars/completed/,CarViewSet,completed,No
GET,/api/cars/statistics/,CarViewSet,statistics,Yes
GET,/api/cars/bulk-update/,CarViewSet,bulk_update,No
GET,/api/cars/{id}/download/,CarViewSet,download,No
GET,/api/cars/upload-pdf/,CarViewSet,upload_pdf,No
GET,/api/cars/mark-as-paid/,CarViewSet,mark_as_paid,No
POST,/api/cars/{id}/refund/,CarViewSet,refund,No
GET,/api/cars/unpaid/,CarViewSet,unpaid,Yes
GET,/api/cars/paid/,CarViewSet,paid,No
GET,/api/cars/refunded/,CarViewSet,refunded,No
GET,/api/cars/statistics/,CarViewSet,statistics,Yes
GET,/api/cars/send-sms-notification/,CarViewSet,send_sms_notification,No
GET,/api/cars/bulk-upload/,CarViewSet,bulk_upload,No
GET,/api/cars/mark-read/,CarViewSet,mark_read,No
GET,/api/cars/mark-all-read/,CarViewSet,mark_all_read,No
GET,/api/services/,ServiceViewSet,list,No
POST,/api/services/,ServiceViewSet,create,No
GET,/api/services/{id}/,ServiceViewSet,retrieve,No
PUT,/api/services/{id}/,ServiceViewSet,update,No
PATCH,/api/services/{id}/,ServiceViewSet,partial_update,No
DELETE,/api/services/{id}/,ServiceViewSet,destroy,No
GET,/api/services/{id}/me/,ServiceViewSet,me,Yes
GET,/api/services/statistics/,ServiceViewSet,statistics,Yes
GET,/api/services/service-history/,ServiceViewSet,service_history,Yes
PUT,/api/services/update-address/,ServiceViewSet,update_address,No
GET,/api/services/cars/,ServiceViewSet,cars,No
GET,/api/services/bulk-create/,ServiceViewSet,bulk_create,No
GET,/api/services/export/,ServiceViewSet,export,No
GET,/api/services/services/,ServiceViewSet,services,No
GET,/api/services/items/,ServiceViewSet,items,No
GET,/api/services/invoice/,ServiceViewSet,invoice,No
GET,/api/services/send-sms-notification/,ServiceViewSet,send_sms_notification,No
GET,/api/services/complete/,ServiceViewSet,complete,No
GET,/api/services/cancel/,ServiceViewSet,cancel,No
GET,/api/services/reschedule/,ServiceViewSet,reschedule,No
GET,/api/services/upcoming/,ServiceViewSet,upcoming,No
GET,/api/services/in-progress/,ServiceViewSet,in_progress,No
GET,/api/services/completed/,ServiceViewSet,completed,No
GET,/api/services/statistics/,ServiceViewSet,statistics,Yes
GET,/api/services/bulk-update/,ServiceViewSet,bulk_update,No
GET,/api/services/{id}/download/,ServiceViewSet,download,No
GET,/api/services/upload-pdf/,ServiceViewSet,upload_pdf,No
GET,/api/services/mark-as-paid/,ServiceViewSet,mark_as_paid,No
POST,/api/services/{id}/refund/,ServiceViewSet,refund,No
GET,/api/services/unpaid/,ServiceViewSet,unpaid,Yes
GET,/api/services/paid/,ServiceViewSet,paid,No
GET,/api/services/refunded/,ServiceViewSet,refunded,No
GET,/api/services/statistics/,ServiceViewSet,statistics,Yes
GET,/api/services/send-sms-notification/,ServiceViewSet,send_sms_notification,No
GET,/api/services/bulk-upload/,ServiceViewSet,bulk_upload,No
GET,/api/services/mark-read/,ServiceViewSet,mark_read,No
GET,/api/services/mark-all-read/,ServiceViewSet,mark_all_read,No
GET,/api/service-items/,ServiceItemViewSet,list,No
POST,/api/service-items/,ServiceItemViewSet,create,No
GET,/api/service-items/{id}/,ServiceItemViewSet,retrieve,No
PUT,/api/service-items/{id}/,ServiceItemViewSet,update,No
PATCH,/api/service-items/{id}/,ServiceItemViewSet,partial_update,No
DELETE,/api/service-items/{id}/,ServiceItemViewSet,destroy,No
GET,/api/service-items/{id}/me/,ServiceItemViewSet,me,Yes
GET,/api/service-items/statistics/,ServiceItemViewSet,statistics,Yes
GET,/api/service-items/service-history/,ServiceItemViewSet,service_history,Yes
PUT,/api/service-items/update-address/,ServiceItemViewSet,update_address,No
GET,/api/service-items/cars/,ServiceItemViewSet,cars,No
GET,/api/service-items/bulk-create/,ServiceItemViewSet,bulk_create,No
GET,/api/service-items/export/,ServiceItemViewSet,export,No
GET,/api/service-items/services/,ServiceItemViewSet,services,No
GET,/api/service-items/items/,ServiceItemViewSet,items,No
GET,/api/service-items/invoice/,ServiceItemViewSet,invoice,No
GET,/api/service-items/send-sms-notification/,ServiceItemViewSet,send_sms_notification,No
GET,/api/service-items/complete/,ServiceItemViewSet,complete,No
GET,/api/service-items/cancel/,ServiceItemViewSet,cancel,No
GET,/api/service-items/reschedule/,ServiceItemViewSet,reschedule,No
GET,/api/service-items/upcoming/,ServiceItemViewSet,upcoming,No
GET,/api/service-items/in-progress/,ServiceItemViewSet,in_progress,No
GET,/api/service-items/completed/,ServiceItemViewSet,completed,No
GET,/api/service-items/statistics/,ServiceItemViewSet,statistics,Yes
GET,/api/service-items/bulk-update/,ServiceItemViewSet,bulk_update,No
GET,/api/service-items/{id}/download/,ServiceItemViewSet,download,No
GET,/api/service-items/upload-pdf/,ServiceItemViewSet,upload_pdf,No
GET,/api/service-items/mark-as-paid/,ServiceItemViewSet,mark_as_paid,No
POST,/api/service-items/{id}/refund/,ServiceItemViewSet,refund,No
GET,/api/service-items/unpaid/,ServiceItemViewSet,unpaid,Yes
GET,/api/service-items/paid/,ServiceItemViewSet,paid,No
GET,/api/service-items/refunded/,ServiceItemViewSet,refunded,No
GET,/api/service-items/statistics/,ServiceItemViewSet,statistics,Yes
GET,/api/service-items/send-sms-notification/,ServiceItemViewSet,send_sms_notification,No
GET,/api/service-items/bulk-upload/,ServiceItemViewSet,bulk_upload,No
GET,/api/service-items/mark-read/,ServiceItemViewSet,mark_read,No
GET,/api/service-items/mark-all-read/,ServiceItemViewSet,mark_all_read,No
GET,/api/invoices/,InvoiceViewSet,list,No
POST,/api/invoices/,InvoiceViewSet,create,No
GET,/api/invoices/{id}/,InvoiceViewSet,retrieve,No
PUT,/api/invoices/{id}/,InvoiceViewSet,update,No
PATCH,/api/invoices/{id}/,InvoiceViewSet,partial_update,No
DELETE,/api/invoices/{id}/,InvoiceViewSet,destroy,No
GET,/api/invoices/{id}/me/,InvoiceViewSet,me,Yes
GET,/api/invoices/statistics/,InvoiceViewSet,statistics,Yes
GET,/api/invoices/service-history/,InvoiceViewSet,service_history,Yes
PUT,/api/invoices/update-address/,InvoiceViewSet,update_address,No
GET,/api/invoices/cars/,InvoiceViewSet,cars,No
GET,/api/invoices/bulk-create/,InvoiceViewSet,bulk_create,No
GET,/api/invoices/export/,InvoiceViewSet,export,No
GET,/api/invoices/services/,InvoiceViewSet,services,No
GET,/api/invoices/items/,InvoiceViewSet,items,No
GET,/api/invoices/invoice/,InvoiceViewSet,invoice,No
GET,/api/invoices/send-sms-notification/,InvoiceViewSet,send_sms_notification,No
GET,/api/invoices/complete/,InvoiceViewSet,complete,No
GET,/api/invoices/cancel/,InvoiceViewSet,cancel,No
GET,/api/invoices/reschedule/,InvoiceViewSet,reschedule,No
GET,/api/invoices/upcoming/,InvoiceViewSet,upcoming,No
GET,/api/invoices/in-progress/,InvoiceViewSet,in_progress,No
GET,/api/invoices/completed/,InvoiceViewSet,completed,No
GET,/api/invoices/statistics/,InvoiceViewSet,statistics,Yes
GET,/api/invoices/bulk-update/,InvoiceViewSet,bulk_update,No
GET,/api/invoices/{id}/download/,InvoiceViewSet,download,No
GET,/api/invoices/upload-pdf/,InvoiceViewSet,upload_pdf,No
GET,/api/invoices/mark-as-paid/,InvoiceViewSet,mark_as_paid,No
POST,/api/invoices/{id}/refund/,InvoiceViewSet,refund,No
GET,/api/invoices/unpaid/,InvoiceViewSet,unpaid,Yes
GET,/api/invoices/paid/,InvoiceViewSet,paid,No
GET,/api/invoices/refunded/,InvoiceViewSet,refunded,No
GET,/api/invoices/statistics/,InvoiceViewSet,statistics,Yes
GET,/api/invoices/send-sms-notification/,InvoiceViewSet,send_sms_notification,No
GET,/api/invoices/bulk-upload/,InvoiceViewSet,bulk_upload,No
GET,/api/invoices/mark-read/,InvoiceViewSet,mark_read,No
GET,/api/invoices/mark-all-read/,InvoiceViewSet,mark_all_read,No
GET,/api/notifications/,NotificationViewSet,list,No
POST,/api/notifications/,NotificationViewSet,create,No
GET,/api/notifications/{id}/,NotificationViewSet,retrieve,No
PUT,/api/notifications/{id}/,NotificationViewSet,update,No
PATCH,/api/notifications/{id}/,NotificationViewSet,partial_update,No
DELETE,/api/notifications/{id}/,NotificationViewSet,destroy,No
GET,/api/notifications/{id}/me/,NotificationViewSet,me,Yes
GET,/api/notifications/statistics/,NotificationViewSet,statistics,Yes
GET,/api/notifications/service-history/,NotificationViewSet,service_history,Yes
PUT,/api/notifications/update-address/,NotificationViewSet,update_address,No
GET,/api/notifications/cars/,NotificationViewSet,cars,No
GET,/api/notifications/bulk-create/,NotificationViewSet,bulk_create,No
GET,/api/notifications/export/,NotificationViewSet,export,No
GET,/api/notifications/services/,NotificationViewSet,services,No
GET,/api/notifications/items/,NotificationViewSet,items,No
GET,/api/notifications/invoice/,NotificationViewSet,invoice,No
GET,/api/notifications/send-sms-notification/,NotificationViewSet,send_sms_notification,No
GET,/api/notifications/complete/,NotificationViewSet,complete,No
GET,/api/notifications/cancel/,NotificationViewSet,cancel,No
GET,/api/notifications/reschedule/,NotificationViewSet,reschedule,No
GET,/api/notifications/upcoming/,NotificationViewSet,upcoming,No
GET,/api/notifications/in-progress/,NotificationViewSet,in_progress,No
GET,/api/notifications/completed/,NotificationViewSet,completed,No
GET,/api/notifications/statistics/,NotificationViewSet,statistics,Yes
GET,/api/notifications/bulk-update/,NotificationViewSet,bulk_update,No
GET,/api/notifications/{id}/download/,NotificationViewSet,download,No
GET,/api/notifications/upload-pdf/,NotificationViewSet,upload_pdf,No
GET,/api/notifications/mark-as-paid/,NotificationViewSet,mark_as_paid,No
POST,/api/notifications/{id}/refund/,NotificationViewSet,refund,No
GET,/api/notifications/unpaid/,NotificationViewSet,unpaid,Yes
GET,/api/notifications/paid/,NotificationViewSet,paid,No
GET,/api/notifications/refunded/,NotificationViewSet,refunded,No
GET,/api/notifications/statistics/,NotificationViewSet,statistics,Yes
GET,/api/notifications/send-sms-notification/,NotificationViewSet,send_sms_notification,No
GET,/api/notifications/bulk-upload/,NotificationViewSet,bulk_upload,No
GET,/api/notifications/mark-read/,NotificationViewSet,mark_read,No
GET,/api/notifications/mark-all-read/,NotificationViewSet,mark_all_read,No
